port,addr,epoch,utc,GrossQty#2,FlowRate#4,GrossTotal#17,NetTotal#18,PrevGross#100,PrevNet#101,longi,longimm,lati,latimm,reserved
1,0x003F040,1727717214,2024-09-30 17:26:54,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F080,1727717215,2024-09-30 17:26:55,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F0C0,1727717215,2024-09-30 17:26:55,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F100,1727717216,2024-09-30 17:26:56,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F140,1727717217,2024-09-30 17:26:57,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F180,1727717217,2024-09-30 17:26:57,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F1C0,1727717218,2024-09-30 17:26:58,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F200,1727717221,2024-09-30 17:27:01,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F240,1727717222,2024-09-30 17:27:02,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F280,1727717222,2024-09-30 17:27:02,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F2C0,1727717223,2024-09-30 17:27:03,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F300,1727717226,2024-09-30 17:27:06,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F340,1727717227,2024-09-30 17:27:07,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F380,1727717227,2024-09-30 17:27:07,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F3C0,1727717228,2024-09-30 17:27:08,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F400,1727717231,2024-09-30 17:27:11,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F440,1727717232,2024-09-30 17:27:12,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F480,1727717232,2024-09-30 17:27:12,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F4C0,1727717233,2024-09-30 17:27:13,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F500,1727717236,2024-09-30 17:27:16,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F540,1727717237,2024-09-30 17:27:17,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F580,1727717237,2024-09-30 17:27:17,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F5C0,1727717238,2024-09-30 17:27:18,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F600,1727717241,2024-09-30 17:27:21,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F640,1727717242,2024-09-30 17:27:22,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F680,1727717242,2024-09-30 17:27:22,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F6C0,1727717243,2024-09-30 17:27:23,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F700,1727717246,2024-09-30 17:27:26,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F740,1727717247,2024-09-30 17:27:27,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F780,1727717247,2024-09-30 17:27:27,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F7C0,1727717248,2024-09-30 17:27:28,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F800,1727717251,2024-09-30 17:27:31,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F840,1727717252,2024-09-30 17:27:32,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F880,1727717252,2024-09-30 17:27:32,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F8C0,1727717253,2024-09-30 17:27:33,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F900,1727717256,2024-09-30 17:27:36,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F940,1727717257,2024-09-30 17:27:37,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F980,1727717257,2024-09-30 17:27:37,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F9C0,1727717258,2024-09-30 17:27:38,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003FA00,1727717261,2024-09-30 17:27:41,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003FA40,1727717262,2024-09-30 17:27:42,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003FA80,1727717262,2024-09-30 17:27:42,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003FAC0,1727717263,2024-09-30 17:27:43,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003FB00,1727717266,2024-09-30 17:27:46,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003FB40,1727717267,2024-09-30 17:27:47,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003FB80,1727717267,2024-09-30 17:27:47,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003FBC0,1727717268,2024-09-30 17:27:48,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003FC00,1727717271,2024-09-30 17:27:51,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003FC40,1727717272,2024-09-30 17:27:52,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003FC80,1727717272,2024-09-30 17:27:52,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003FCC0,1727717273,2024-09-30 17:27:53,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003FD00,1727717296,2024-09-30 17:28:16,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003FD40,1727717297,2024-09-30 17:28:17,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003FD80,1727717297,2024-09-30 17:28:17,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003FDC0,1727717298,2024-09-30 17:28:18,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003FE00,1727717298,2024-09-30 17:28:18,10.8,10.8,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003FE40,1727717299,2024-09-30 17:28:19,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003FE80,1727717300,2024-09-30 17:28:20,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003FEC0,1727717300,2024-09-30 17:28:20,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003FF00,1727717301,2024-09-30 17:28:21,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003FF40,1727717302,2024-09-30 17:28:22,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003FF80,1727717302,2024-09-30 17:28:22,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003FFC0,1727717303,2024-09-30 17:28:23,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040000,1727717303,2024-09-30 17:28:23,10.8,10.8,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040040,1727717304,2024-09-30 17:28:24,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040080,1727717305,2024-09-30 17:28:25,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x00400C0,1727717305,2024-09-30 17:28:25,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040100,1727717306,2024-09-30 17:28:26,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040140,1727717307,2024-09-30 17:28:27,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040180,1727717307,2024-09-30 17:28:27,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x00401C0,1727717308,2024-09-30 17:28:28,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040200,1727717308,2024-09-30 17:28:28,10.8,10.8,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040240,1727717309,2024-09-30 17:28:29,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040280,1727717310,2024-09-30 17:28:30,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x00402C0,1727717310,2024-09-30 17:28:30,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040300,1727717311,2024-09-30 17:28:31,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040340,1727717312,2024-09-30 17:28:32,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040380,1727717312,2024-09-30 17:28:32,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x00403C0,1727717313,2024-09-30 17:28:33,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040400,1727717313,2024-09-30 17:28:33,10.8,10.8,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040440,1727717314,2024-09-30 17:28:34,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040480,1727717315,2024-09-30 17:28:35,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x00404C0,1727717315,2024-09-30 17:28:35,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040500,1727717316,2024-09-30 17:28:36,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040540,1727717317,2024-09-30 17:28:37,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040580,1727717317,2024-09-30 17:28:37,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x00405C0,1727717318,2024-09-30 17:28:38,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040600,1727717321,2024-09-30 17:28:41,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040640,1727717322,2024-09-30 17:28:42,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040680,1727717322,2024-09-30 17:28:42,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x00406C0,1727717323,2024-09-30 17:28:43,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
